back_x_top,back_y_top,front_x_top,front_y_top,stim_x,stim_y,back_x_side,back_y_side,front_x_side,front_y_side,jump
557.441424,385.893258,569.114521,414.657303,658.009646,388.589888,683.979557,416.363450,700.885998,401.430289,0
557.441424,386.792135,567.318660,416.455056,649.928271,389.488764,683.979557,416.363450,702.874991,400.434745,0
557.441424,385.893258,566.420730,417.353933,639.153104,390.387640,683.979557,416.363450,702.874991,399.439200,0
557.441424,385.893258,566.420730,416.455056,626.582076,391.286517,683.979557,416.363450,699.891502,397.448112,0
557.441424,385.893258,567.318660,416.455056,615.806910,393.084270,682.985061,416.363450,699.891502,398.443656,0
557.441424,385.893258,566.420730,417.353933,607.725535,393.084270,682.985061,415.367906,700.885998,397.448112,0
557.441424,385.893258,565.522799,419.151685,598.746229,394.882022,682.985061,416.363450,696.908012,395.457024,0
557.441424,385.893258,566.420730,419.151685,587.073132,393.084270,681.990564,418.354538,696.908012,395.457024,0
557.441424,385.893258,564.624868,418.252809,576.297966,393.084270,681.990564,417.358994,693.924522,394.461480,0
557.441424,385.893258,564.624868,419.151685,563.726938,391.286517,680.001571,418.354538,693.924522,392.470392,0
557.441424,385.893258,562.829007,422.747191,552.951771,390.387640,679.007075,411.385730,693.924522,386.497127,1
555.645563,393.983146,561.931077,427.241573,543.972466,388.589888,678.012578,405.412465,692.930026,376.541686,0
553.849702,405.668539,561.931077,435.331461,534.993160,385.893258,679.007075,393.465936,692.930026,364.595157,0
552.951771,414.657303,558.339355,440.724719,526.013855,385.893258,679.007075,381.519407,689.946536,345.679819,0
552.053841,425.443820,557.441424,448.814607,517.034549,384.994382,675.029089,361.608525,688.952040,334.728834,0
552.053841,432.634831,553.849702,453.308989,505.361452,384.994382,677.018082,350.657540,683.979557,312.826864,0
551.155910,439.825843,552.951771,458.702247,495.484216,384.994382,674.034592,328.755570,681.990564,291.920438,0
550.257980,446.117978,550.257980,464.994382,486.504911,385.893258,672.045599,318.800129,678.012578,280.969453,0
547.564188,454.207865,549.360049,471.286517,475.729744,387.691011,666.078620,297.893703,675.029089,270.018468,0
547.564188,458.702247,546.666257,477.578652,465.852508,387.691011,664.089627,285.947174,669.062110,255.085307,0
546.666257,465.893258,544.870396,483.870787,456.873202,388.589888,659.805507,280.724719,666.078620,242.143234,0
