back_x_top,back_y_top,front_x_top,front_y_top,stim_x,stim_y,back_x_side,back_y_side,front_x_side,front_y_side,jump
585.277271,340.050562,555.645563,344.544944,955.224658,352.634831,708.812918,416.221475,665.026060,395.594189,0
585.277271,340.050562,555.645563,344.544944,945.347422,352.634831,707.525069,416.221475,663.738211,394.304984,0
585.277271,340.050562,555.645563,344.544944,937.266047,355.331461,707.525069,416.221475,663.738211,394.304984,0
585.277271,340.050562,556.543494,345.443820,926.490880,355.331461,707.525069,416.221475,663.738211,394.304984,0
585.277271,340.050562,556.543494,344.544944,918.409505,356.230337,706.237220,414.932269,663.738211,394.304984,0
585.277271,340.050562,556.543494,344.544944,906.736408,355.331461,706.237220,414.932269,663.738211,394.304984,0
585.277271,340.050562,555.645563,344.544944,900.450894,356.230337,706.237220,414.932269,663.738211,394.304984,0
585.277271,340.050562,555.645563,344.544944,889.675728,357.129213,707.525069,414.932269,663.738211,394.304984,0
585.277271,340.050562,555.645563,344.544944,879.798492,358.028090,707.525069,414.932269,663.738211,393.015779,0
585.277271,340.050562,555.645563,344.544944,869.921256,359.825843,707.525069,413.643064,663.738211,393.015779,0
585.277271,340.050562,556.543494,347.241573,860.941950,362.522472,707.525069,413.643064,661.162514,387.858957,1
586.175202,337.353933,553.849702,348.140449,852.860575,361.623596,693.358733,408.486243,662.450363,385.280547,0
577.195896,342.747191,550.257980,351.735955,842.983339,363.421348,683.055943,396.883395,650.859724,373.677699,0
570.012452,348.140449,543.972466,360.724719,832.208173,366.117978,672.753153,385.280547,644.420480,355.628824,0
562.829007,351.735955,539.482813,367.016854,823.228867,367.016854,665.026060,374.966904,635.405539,341.447565,0
557.441424,357.129213,534.993160,369.713483,813.351631,367.016854,656.011119,367.231672,626.390597,329.844717,0
552.053841,360.724719,531.401438,374.207865,803.474395,369.713483,643.132631,356.918029,622.527051,318.241869,0
543.972466,365.219101,527.809716,379.601124,795.393020,370.612360,635.405539,349.182797,616.087807,307.928227,0
538.584882,368.814607,522.422133,379.601124,784.617853,372.410112,621.239202,340.158360,608.360715,301.482200,0
532.299369,372.410112,521.524202,386.792135,772.944756,370.612360,612.224261,329.844717,601.921471,293.746968,0
522.422133,374.207865,515.238688,390.387640,762.169590,368.814607,598.057925,319.531075,599.345774,287.300941,0
