back_x_top,back_y_top,front_x_top,front_y_top,stim_x,stim_y,back_x_side,back_y_side,front_x_side,front_y_side,jump
618.500702,361.623596,587.971063,373.308989,899.552964,366.117978,759.475798,417.353933,715.477201,404.769663,0
616.704840,359.825843,590.664854,374.207865,889.675728,367.016854,759.475798,417.353933,715.477201,404.769663,0
618.500702,358.028090,588.868993,373.308989,880.696422,367.016854,759.475798,417.353933,716.375132,404.769663,0
618.500702,359.825843,588.868993,368.814607,872.615047,368.814607,759.475798,417.353933,716.375132,404.769663,0
618.500702,359.825843,588.868993,368.814607,863.635742,370.612360,759.475798,417.353933,715.477201,402.971910,0
618.500702,359.825843,587.971063,364.320225,853.758506,371.511236,759.475798,417.353933,716.375132,402.971910,0
618.500702,360.724719,588.868993,365.219101,841.187478,372.410112,759.475798,418.252809,715.477201,401.174157,0
618.500702,362.522472,588.868993,362.522472,832.208173,371.511236,759.475798,419.151685,716.375132,402.073034,0
618.500702,363.421348,587.073132,360.724719,822.330937,373.308989,759.475798,418.252809,714.579270,399.376404,0
617.602771,358.926966,585.277271,358.926966,813.351631,374.207865,759.475798,418.252809,713.681340,398.477528,0
618.500702,358.926966,585.277271,354.432584,802.576464,376.005618,759.475798,418.252809,713.681340,399.376404,1
617.602771,359.825843,582.583479,353.533708,793.597159,376.904494,759.475798,418.252809,714.579270,401.174157,0
606.827604,355.331461,579.889688,350.837079,782.821992,378.702247,759.475798,418.252809,713.681340,398.477528,0
603.235882,354.432584,574.502105,349.039326,772.944756,377.803371,757.679937,415.556180,712.783409,396.679775,0
593.358646,350.837079,570.012452,343.646067,761.271659,378.702247,749.598562,410.162921,709.191687,388.589888,0
585.277271,348.140449,565.522799,335.556180,749.598562,379.601124,734.333743,398.477528,699.314451,371.511236,0
577.195896,347.241573,562.829007,330.162921,739.721326,379.601124,720.864784,392.185393,689.437215,362.522472,0
568.216591,343.646067,559.237285,326.567416,728.946159,380.500000,710.987548,383.196629,683.151701,357.129213,0
558.339355,340.050562,557.441424,321.174157,719.966854,380.500000,702.906173,380.500000,675.070326,350.837079,0
551.155910,337.353933,555.645563,316.679775,710.987548,382.297753,693.028937,373.308989,669.682743,348.140449,0
543.074535,334.657303,551.155910,313.084270,700.212382,383.196629,686.743423,369.713483,662.499298,333.758427,0
