back_x_top,back_y_top,front_x_top,front_y_top,stim_x,stim_y,back_x_side,back_y_side,front_x_side,front_y_side,jump
574.502105,358.926966,554.601619,381.264658,783.719923,376.005618,710.089618,416.455056,679.559979,399.376404,0
574.502105,358.926966,553.929576,381.264658,778.332340,376.005618,708.293757,416.455056,677.764118,397.578652,0
574.502105,358.926966,553.929576,380.591907,772.046826,377.803371,708.293757,416.455056,678.662048,399.376404,0
574.502105,358.926966,554.601619,381.937409,771.148895,377.803371,708.293757,416.455056,678.662048,399.376404,0
574.502105,358.926966,554.601619,381.937409,764.863381,379.601124,708.293757,416.455056,678.662048,398.477528,0
574.502105,358.926966,553.929576,381.937409,761.271659,380.500000,708.293757,415.556180,677.764118,398.477528,0
574.502105,358.926966,553.929576,381.937409,756.782006,379.601124,708.293757,417.353933,676.866187,398.477528,0
572.706243,357.129213,553.929576,381.937409,752.292354,381.398876,708.293757,417.353933,677.764118,394.882022,0
571.808313,358.028090,557.961835,382.610160,746.904770,382.297753,708.293757,415.556180,687.641354,393.983146,0
571.808313,358.028090,559.977964,382.610160,742.415118,383.196629,707.395826,415.556180,686.743423,391.286517,0
569.114521,357.129213,561.994094,382.610160,736.129604,382.297753,706.497895,416.455056,687.641354,388.589888,1
568.216591,358.028090,559.305921,387.992168,733.435812,384.095506,703.804104,406.567416,689.437215,383.196629,0
570.012452,364.320225,558.633878,393.374177,728.048229,385.893258,701.110312,398.477528,690.335146,367.915730,0
568.216591,373.308989,558.633878,398.756185,724.456506,384.994382,698.416521,386.792135,688.539284,351.735955,0
565.522799,379.601124,557.961835,402.119940,719.068923,384.994382,696.620659,369.713483,686.743423,327.466292,0
564.624868,383.196629,557.289792,407.501949,713.681340,384.994382,696.620659,356.230337,686.743423,312.185393,0
562.829007,389.488764,556.617749,412.883957,710.089618,386.792135,695.722729,336.455056,686.743423,293.308989,0
561.931077,395.780899,557.289792,416.920463,704.702034,386.792135,695.722729,320.275281,684.049632,273.533708,0
561.033146,401.174157,557.961835,420.284218,699.314451,389.488764,693.028937,309.488764,683.151701,256.455056,0
559.237285,404.769663,555.273662,424.320725,693.926868,389.488764,689.437215,293.308989,681.355840,241.174157,0
557.441424,410.162921,554.601619,429.702733,687.641354,391.286517,686.743423,279.825843,682.253771,233.084270,0
