back_x_top,back_y_top,front_x_top,front_y_top,stim_x,stim_y,back_x_side,back_y_side,front_x_side,front_y_side,jump
584.379341,365.219101,572.706243,339.151685,754.986145,393.084270,737.027534,413.758427,705.599965,394.882022,0
586.175202,366.117978,571.808313,338.252809,753.190284,395.780899,736.129604,413.758427,707.395826,393.983146,0
587.073132,364.320225,572.706243,340.050562,748.700631,394.882022,737.925465,414.657303,707.395826,395.780899,0
587.073132,365.219101,570.910382,340.050562,744.210979,395.780899,737.027534,412.859551,702.906173,393.983146,0
587.073132,365.219101,570.012452,340.050562,743.313048,396.679775,737.925465,413.758427,705.599965,393.983146,0
587.073132,364.320225,570.910382,340.949438,737.925465,395.780899,737.925465,413.758427,703.804104,393.983146,0
588.868993,362.522472,569.114521,343.646067,731.639951,395.780899,736.129604,411.960674,704.702034,394.882022,0
588.868993,364.320225,569.114521,343.646067,726.252368,395.780899,737.027534,413.758427,703.804104,394.882022,0
589.766924,362.522472,569.114521,344.544944,721.762715,396.679775,735.231673,411.960674,703.804104,394.882022,0
589.766924,362.522472,568.216591,349.039326,714.579270,397.578652,735.231673,412.859551,705.599965,394.882022,0
589.766924,363.421348,568.216591,346.342697,711.885479,395.780899,735.231673,410.162921,701.110312,395.780899,1
587.073132,362.522472,565.522799,346.342697,705.599965,397.578652,724.456506,405.668539,688.539284,377.803371,0
582.583479,361.623596,561.931077,346.342697,700.212382,398.477528,710.089618,397.578652,679.559979,364.320225,0
580.787618,358.926966,555.645563,350.837079,697.518590,400.275281,699.314451,385.893258,665.193090,349.039326,0
568.216591,362.522472,549.360049,355.331461,693.028937,398.477528,687.641354,372.410112,661.601368,345.443820,0
563.726938,362.522472,542.176605,358.028090,687.641354,398.477528,675.070326,359.825843,651.724132,325.668539,0
558.339355,361.623596,537.686952,358.926966,684.049632,399.376404,663.397229,349.938202,639.153104,313.084270,0
546.666257,357.129213,530.503508,364.320225,681.355840,397.578652,654.417924,340.050562,632.867590,304.095506,0
541.278674,357.129213,526.911785,367.016854,673.274465,402.073034,644.540687,331.960674,624.786215,296.005618,0
531.401438,355.331461,520.626271,366.117978,668.784812,404.769663,632.867590,322.971910,615.806910,289.713483,0
523.320063,354.432584,515.238688,367.915730,662.499298,405.668539,622.092424,313.084270,605.929674,286.117978,0
