turn_ang,azimuth,approach_ang,take_off_ang,vel,ind
0.1492220762211584,43.12798436813048,165.15489962406642,61.34033620104994,180.9348086259694,1.0
-0.09484474557293364,48.06595517924673,128.10258525871808,48.24160361313591,89.40582771784159,1.0
-0.6209561932870656,4.362844043844669,-150.77807006300415,10.128229176042867,95.3270613247373,1.0
-0.0,-2.3706376176327937,126.92611177819535,48.11417908851594,118.39054946599535,1.0
0.22633766047155432,12.804349388057318,91.44288332950907,35.25618872238127,159.59165901072626,1.0
25.404550759999935,25.75621794643454,-159.88183755798835,44.08762229502412,102.03070234651832,2.0
15.997992647395153,15.419834352093947,-140.1396375274731,46.25233691037335,68.21631519963516,2.0
-9.900407723160269,-23.887025871860317,-66.13500172939212,38.3194289429311,97.07553919015919,2.0
33.84446447078704,39.8181099274487,108.82846932473258,58.59485115145889,82.33321108265281,2.0
-4.122158135374271,-7.073358844806436,-85.15290399367899,21.956778444013615,95.10368452742539,2.0
-20.944631526502928,-31.98847792728117,-163.8332658891109,4.316865123480359,42.99074683007406,2.0
-0.0,29.941655651971715,-177.49296637841272,41.41795170424837,81.38862690843762,2.0
21.822606327639647,5.750744693476444,89.02324529296678,18.29388890379554,134.61359073535482,3.0
