back_x_top,back_y_top,front_x_top,front_y_top,stim_x,stim_y,back_x_side,back_y_side,front_x_side,front_y_side,jump
618.010000,361.990000,602.990000,341.980000,976.124318,386.430380,745.000000,415.000000,721.510000,405.990000,0
618.030000,361.970000,603.020000,341.970000,964.957470,386.430380,745.010000,415.000000,721.490000,406.010000,0
618.010000,362.000000,603.000000,341.990000,956.582334,385.670886,745.000000,415.010000,721.500000,405.990000,0
618.010000,361.990000,603.020000,342.000000,943.554344,385.670886,745.000000,415.000000,721.518876,405.587196,0
618.010000,362.010000,603.020000,342.000000,934.248637,384.151899,745.010000,415.010000,720.786008,405.587196,0
617.970000,362.010000,602.990000,342.010000,925.873501,389.468354,745.000000,415.000000,720.980000,405.900000,0
617.980000,362.010000,602.990000,342.000000,914.706652,389.468354,745.000000,415.000000,721.000000,406.010000,0
618.000000,362.010000,602.990000,342.020000,906.331516,387.189873,745.010000,415.010000,721.000000,406.000000,0
617.980000,362.000000,603.000000,342.010000,894.234097,387.949367,745.040000,415.030000,721.000000,406.000000,0
618.040000,362.000000,603.020000,341.990000,886.789531,386.430380,745.060000,415.120000,721.010000,405.990000,0
618.010000,361.990000,602.990000,342.000000,877.483824,386.430380,745.020000,414.920000,720.053140,400.877851,1
618.050000,361.850000,602.367633,339.524144,867.247546,385.670886,741.581126,405.947649,717.854536,393.342899,0
610.294685,350.468146,599.242753,333.523207,857.941839,386.430380,731.286792,389.189530,712.724459,373.249693,0
602.451851,340.066521,592.257729,320.321144,847.705562,387.949367,714.815857,364.052351,701.365003,340.284278,0
597.223294,331.265146,583.618357,304.568683,835.608142,388.708861,705.550956,350.381253,690.640000,311.140000,0
591.014384,322.997187,577.552414,297.107637,828.163577,387.949367,691.138888,327.449090,686.861037,292.766904,0
583.171549,310.461895,573.140820,286.455973,816.996728,387.189873,677.185921,305.125851,679.532355,269.324830,0
577.289423,301.927228,570.383573,283.755551,805.829880,389.468354,668.950453,282.781692,671.578126,252.163037,0
573.694791,294.992811,563.030916,285.255785,802.107597,386.430380,653.852096,261.613541,666.366620,232.814024,0
567.485880,286.724853,557.270000,276.880000,790.940749,385.670886,640.126317,236.917365,656.812191,217.930168,0
560.950184,277.656769,551.240000,269.280000,778.843330,382.632911,631.204561,218.689235,648.126346,203.046312,0
