back_x_top,back_y_top,front_x_top,front_y_top,stim_x,stim_y,back_x_side,back_y_side,front_x_side,front_y_side,jump
634.580784,353.391627,622.687064,340.904434,1269.565217,348.553259,NaN,NaN,NaN,NaN,0
634.490000,353.500000,622.490000,340.990000,1265.391304,348.553259,NaN,NaN,NaN,NaN,0
634.510000,353.500000,622.500000,340.990000,1258.434783,346.263911,NaN,NaN,NaN,NaN,0
634.420000,353.460000,622.360000,340.950000,1251.478261,350.842607,NaN,NaN,NaN,NaN,0
634.500000,353.510000,622.510000,341.010000,1244.521739,350.842607,NaN,NaN,NaN,NaN,0
634.504563,353.340399,622.350000,340.940000,1237.565217,350.842607,NaN,NaN,NaN,NaN,0
634.480000,353.500000,622.480000,341.000000,1230.608696,349.697933,NaN,NaN,NaN,NaN,0
634.229737,353.340399,622.490000,341.000000,1223.652174,351.987281,NaN,NaN,NaN,NaN,0
634.510000,353.500000,622.670000,341.040000,1215.304348,353.131955,NaN,NaN,NaN,NaN,0
634.500000,353.490000,623.000000,341.000000,1209.739130,353.131955,NaN,NaN,NaN,NaN,0
634.590000,353.300000,623.000000,341.000000,1202.782609,350.842607,NaN,NaN,NaN,NaN,0
634.520000,353.010000,623.010000,341.010000,1197.217391,356.565978,NaN,NaN,NaN,NaN,0
634.410000,353.480000,622.990000,341.000000,1195.826087,354.276630,NaN,NaN,NaN,NaN,0
634.229737,352.888182,623.010000,341.010000,1184.695652,356.565978,NaN,NaN,NaN,NaN,0
633.680086,353.114291,622.970000,341.030000,1176.347826,353.131955,NaN,NaN,NaN,NaN,0
632.855609,353.114291,622.990000,340.990000,1170.782609,353.131955,NaN,NaN,NaN,NaN,0
633.954911,353.114291,622.980000,340.990000,1165.217391,354.276630,NaN,NaN,NaN,NaN,0
633.680086,352.888182,623.000000,341.000000,NaN,NaN,NaN,NaN,NaN,NaN,0
633.130435,353.566508,623.010000,341.010000,NaN,NaN,NaN,NaN,NaN,NaN,0
633.010000,353.490000,623.010000,340.980000,NaN,NaN,NaN,NaN,NaN,NaN,0
633.130435,352.662074,623.010000,340.990000,NaN,NaN,NaN,NaN,NaN,NaN,0
633.130435,353.340399,622.990000,341.000000,NaN,NaN,NaN,NaN,NaN,NaN,0
633.130435,352.662074,622.980000,341.020000,NaN,NaN,NaN,NaN,NaN,NaN,0
633.680086,353.114291,622.990000,341.000000,NaN,NaN,NaN,NaN,NaN,NaN,0
633.990000,352.970000,623.000000,341.000000,NaN,NaN,NaN,NaN,NaN,NaN,0
634.010000,352.970000,623.030000,340.970000,NaN,NaN,NaN,NaN,NaN,NaN,0
634.000000,353.010000,623.020000,341.020000,NaN,NaN,NaN,NaN,NaN,NaN,0
634.010000,352.980000,623.010000,340.990000,NaN,NaN,NaN,NaN,NaN,NaN,0
633.510000,353.010000,623.020000,341.010000,NaN,NaN,NaN,NaN,NaN,NaN,0
633.405260,352.888182,622.990000,340.990000,NaN,NaN,NaN,NaN,NaN,NaN,0
633.520000,353.000000,623.030000,341.000000,NaN,NaN,NaN,NaN,NaN,NaN,0
