back_x_top,back_y_top,front_x_top,front_y_top,stim_x,stim_y,back_x_side,back_y_side,front_x_side,front_y_side,jump
610.040000,323.990000,590.990000,320.010000,1021.913043,337.846154,725.867385,413.561747,697.781544,402.633386,0
609.990000,323.990000,590.980000,319.980000,1008.000000,332.923077,726.010000,414.020000,697.379787,401.619123,0
610.020000,323.960000,591.010000,319.980000,1005.217391,334.153846,726.000000,413.990000,697.500000,402.500000,0
610.000000,323.990000,591.000000,320.010000,992.695652,334.153846,726.010000,414.010000,697.379787,401.957211,0
610.010000,324.010000,591.010000,320.010000,981.565217,335.384615,726.000000,414.000000,696.978029,400.942948,0
610.000000,324.000000,591.010000,320.000000,976.000000,336.615385,726.000000,414.010000,696.960000,400.770000,0
610.030000,324.040000,591.020000,320.050000,964.869565,336.615385,726.000000,413.990000,696.970000,400.780000,0
610.000000,324.000000,591.010000,320.000000,955.130435,337.846154,726.010000,413.990000,697.010000,400.980000,0
610.010000,324.010000,590.990000,320.060000,942.608696,331.692308,726.050000,413.950000,696.540000,398.900000,0
609.990000,324.030000,590.980000,320.110000,934.260870,339.076923,724.174382,410.712349,696.576271,396.547808,0
608.740204,325.169991,591.014910,323.512715,925.913043,340.307692,719.518622,401.807982,694.567483,390.462229,1
605.442297,326.385565,589.090000,325.730000,914.782609,340.307692,707.244346,382.574549,690.549906,361.386688,0
593.686706,330.012662,581.976203,332.156801,903.652174,337.846154,689.044557,350.518827,672.470810,322.844691,0
582.327250,335.523267,571.960339,337.991559,895.304348,345.230769,674.338660,315.012050,660.412639,284.817574,0
571.334228,340.709718,567.318841,342.313601,889.739130,341.538462,655.715621,282.718878,648.500523,251.128955,0
560.707640,345.247863,556.919425,350.915163,880.000000,345.230769,641.881115,242.514058,635.644277,223.480895,0
547.882448,352.703387,546.659271,358.262636,866.086957,341.538462,619.307734,221.618477,622.073795,191.625521,0
538.721596,364.048750,536.887696,363.016883,856.347826,340.307692,604.258813,190.591704,608.010000,157.860000,0
535.423689,370.855967,523.207491,367.771130,848.000000,341.538462,588.462494,156.614460,600.646718,138.132535,0
520.033459,374.421652,513.924495,374.254194,838.260870,342.769231,561.374436,123.688089,589.478947,106.407760,0
508.674003,382.201330,503.175762,377.711829,825.739130,345.230769,551.341823,87.384654,566.623399,80.763182,0
