back_x_top,back_y_top,front_x_top,front_y_top,stim_x,stim_y,back_x_side,back_y_side,front_x_side,front_y_side,jump
615.000000,360.010000,613.020000,338.960000,951.462113,342.089552,743.010000,411.000000,733.510000,407.000000,0
615.020000,360.000000,613.010000,338.990000,944.631804,339.701493,743.000000,411.000000,733.500000,407.000000,0
615.010000,360.020000,613.000000,339.000000,933.703308,345.671642,743.000000,411.000000,733.500000,407.000000,0
615.010000,360.000000,613.010000,339.000000,924.140875,346.865672,743.000000,411.000000,733.400000,406.980000,0
615.030000,360.010000,613.060000,339.010000,913.212380,345.671642,743.000000,411.000000,733.500000,407.000000,0
614.990000,360.000000,612.980000,339.020000,907.748132,346.865672,743.000000,411.000000,733.510000,407.000000,0
614.990000,359.990000,612.990000,338.990000,898.185699,346.865672,743.000000,411.000000,733.490000,407.000000,0
615.000000,360.010000,612.930000,339.020000,887.257204,345.671642,743.010000,411.000000,733.520000,407.010000,0
615.000000,360.040000,613.010000,339.040000,879.060832,343.283582,743.040000,411.000000,734.070000,407.000000,0
615.020000,360.010000,612.960000,339.000000,868.132337,351.641791,742.990000,410.870000,734.260000,406.370000,0
614.900000,359.900000,611.582034,335.710460,857.203842,348.059701,737.900619,402.603544,727.156102,394.812846,1
612.174658,351.603096,607.804283,327.534058,847.641409,349.253731,726.382984,385.239203,717.283843,373.550388,0
608.936585,336.508200,602.767281,311.810208,842.177161,351.641791,720.945984,375.448874,708.260000,355.000000,0
603.269958,320.705731,597.190600,298.130459,833.980790,351.641791,714.364479,359.856405,702.064112,334.214839,0
599.492207,311.035563,591.613920,282.696737,818.954109,352.835821,705.040679,341.901440,693.837230,321.457364,0
595.420000,299.880000,585.857346,265.716067,808.025614,354.029851,695.716880,331.033961,686.047347,299.973791,0
590.555621,282.470794,580.100773,250.881507,801.195304,350.447761,691.202628,318.925065,678.917383,283.436323,0
585.428673,269.498618,574.524092,236.239122,791.632871,354.029851,679.502174,300.655100,671.787419,271.623846,0
583.269958,257.941588,573.084948,227.433766,775.240128,356.417910,672.189390,288.685124,665.120000,258.820000,0
577.603331,244.025981,575.783342,232.779875,773.874066,354.029851,660.488935,274.195152,657.527490,248.471392,0
574.000000,228.764142,573.539679,221.990418,761.579509,354.029851,653.880000,262.090000,651.620000,238.100000,0
