back_x_top,back_y_top,front_x_top,front_y_top,stim_x,stim_y,back_x_side,back_y_side,front_x_side,front_y_side,jump
646.523879,316.249448,648.301495,293.588668,1251.447225,353.443709,NaN,NaN,NaN,NaN,0
646.510000,315.990000,648.030000,294.010000,1251.447225,353.443709,NaN,NaN,NaN,NaN,0
646.510000,315.990000,648.000000,293.490000,1244.483134,351.059603,NaN,NaN,NaN,NaN,0
646.530000,315.980000,648.000000,293.610000,1237.519042,348.675497,NaN,NaN,NaN,NaN,0
646.510000,316.020000,647.990000,293.900000,1230.554951,352.251656,NaN,NaN,NaN,NaN,0
646.510000,315.990000,647.990000,293.500000,1224.983678,348.675497,NaN,NaN,NaN,NaN,0
646.460000,316.000000,647.980000,294.010000,1216.626768,348.675497,NaN,NaN,NaN,NaN,0
646.490000,315.990000,648.000000,294.000000,1211.055495,347.483444,NaN,NaN,NaN,NaN,0
646.510000,316.000000,648.030000,293.990000,1205.484222,348.675497,NaN,NaN,NaN,NaN,0
646.500000,316.010000,647.990000,294.000000,1195.734494,347.483444,NaN,NaN,NaN,NaN,0
646.990000,316.000000,648.000000,294.000000,1194.341676,347.483444,NaN,NaN,NaN,NaN,0
646.990000,316.000000,647.990000,294.000000,1184.591948,346.291391,NaN,NaN,NaN,NaN,0
647.000000,316.000000,648.000000,294.010000,1183.199129,346.291391,NaN,NaN,NaN,NaN,0
647.010000,316.000000,647.990000,294.000000,1174.842220,348.675497,NaN,NaN,NaN,NaN,0
647.000000,316.010000,648.000000,294.010000,1166.485310,347.483444,NaN,NaN,NaN,NaN,0
647.000000,316.010000,648.010000,294.040000,1160.914037,348.675497,NaN,NaN,NaN,NaN,0
646.990000,316.000000,647.980000,293.980000,1154.180000,347.930000,NaN,NaN,NaN,NaN,0
646.990000,316.010000,647.990000,294.000000,1141.414581,347.483444,NaN,NaN,NaN,NaN,0
647.000000,316.000000,647.970000,294.000000,1141.010000,347.040000,NaN,NaN,NaN,NaN,0
647.010000,316.010000,647.990000,294.010000,1133.057671,346.291391,NaN,NaN,NaN,NaN,0
647.010000,315.990000,648.000000,293.990000,1120.522307,347.483444,NaN,NaN,NaN,NaN,0
647.010000,316.000000,648.030000,293.990000,1114.951034,346.291391,NaN,NaN,NaN,NaN,0
647.000000,316.000000,648.070000,294.000000,1106.594124,346.291391,NaN,NaN,NaN,NaN,0
646.990000,316.000000,648.010000,293.990000,1098.130000,352.120000,NaN,NaN,NaN,NaN,0
647.030000,316.000000,648.020000,294.000000,1089.880305,351.059603,NaN,NaN,NaN,NaN,0
647.000000,316.000000,647.990000,294.010000,1082.916213,347.483444,NaN,NaN,NaN,NaN,0
647.010000,315.980000,648.520000,293.480000,1077.344940,345.099338,NaN,NaN,NaN,NaN,0
647.030000,316.000000,648.550000,293.500000,1067.595212,342.715232,NaN,NaN,NaN,NaN,0
647.000000,316.030000,648.480000,293.910000,1059.238303,341.523179,NaN,NaN,NaN,NaN,0
646.990000,316.010000,647.980000,293.500000,1048.095756,341.523179,NaN,NaN,NaN,NaN,0
646.990000,315.990000,648.010000,293.890000,1035.790000,347.830000,NaN,NaN,NaN,NaN,0
646.990000,316.000000,648.000000,294.000000,NaN,NaN,NaN,NaN,NaN,NaN,0
647.000000,315.990000,648.010000,293.970000,NaN,NaN,NaN,NaN,NaN,NaN,0
646.990000,316.000000,647.980000,293.980000,NaN,NaN,NaN,NaN,NaN,NaN,0
646.990000,315.990000,648.000000,294.010000,NaN,NaN,NaN,NaN,NaN,NaN,0
646.970000,315.990000,647.980000,294.010000,NaN,NaN,NaN,NaN,NaN,NaN,0
646.830000,315.990000,647.830000,293.990000,NaN,NaN,797.523879,409.376238,801.857091,391.950495,0
646.840000,315.860000,647.710000,293.900000,NaN,NaN,797.990000,409.000000,801.990000,391.990000,0
646.800000,315.950000,644.449751,290.167035,NaN,NaN,798.000000,409.000000,802.000000,392.000000,0
642.888808,309.015453,640.180000,284.840000,NaN,NaN,798.000000,409.000000,802.010000,392.010000,0
641.020000,304.250000,638.397010,279.335541,NaN,NaN,797.970000,409.000000,801.960000,392.000000,0
638.349252,295.240618,633.444767,271.329654,NaN,NaN,797.890000,408.990000,799.780000,391.990000,0
635.960000,286.910000,628.217399,264.736571,NaN,NaN,797.830000,409.010000,797.050000,391.920000,0
631.746262,275.108168,624.090531,256.966152,NaN,NaN,796.285818,401.983498,793.860000,386.970000,1
626.794019,263.099338,618.588039,246.370125,NaN,NaN,791.333575,396.702970,786.381332,383.501650,0
621.841776,251.090508,614.186045,237.186902,NaN,NaN,787.080000,391.110000,775.857816,372.940594,0
617.714908,242.613687,611.772633,232.405445,NaN,NaN,781.429090,379.805281,770.286543,363.963696,0
615.238786,234.843267,609.021387,223.693157,NaN,NaN,774.619756,374.524752,758.524967,352.874587,0
611.111917,226.366446,606.370000,215.990000,NaN,NaN,769.667513,369.244224,752.334663,346.009901,0
606.572361,218.242826,603.730000,208.610000,NaN,NaN,762.858179,362.907591,744.287269,338.617162,0
601.620118,210.825607,600.960000,200.830000,NaN,NaN,757.286906,358.683168,736.239874,331.224422,0
596.667876,202.701987,596.880000,192.990000,NaN,NaN,751.096603,354.986799,728.110000,324.300000,0
590.890259,194.931567,593.339285,185.547461,NaN,NaN,744.287269,350.234323,724.250000,321.230000,0
585.525329,186.101545,590.588039,175.657837,NaN,NaN,738.715996,348.122112,717.049934,319.607261,0
